Rank order,Type,Frequency
472,important,10
473,patient,10
474,deed,10
475,living,10
476,six,10
477,obviously,10
478,discovery,10
479,makes,10
480,enemies,10
481,person,10
482,example,9
483,b,9
484,obvious,9
485,taking,9
486,question,9
487,became,9
488,led,9
489,opposite,9
490,develop,9
491,full,9
492,extant,9
493,brings,9
494,grant,9
495,inferences,9
496,subject,9
497,med,9
498,fluent,9
499,remember,9
500,look,9
501,evacuation,9
502,instead,9
503,understanding,9
504,evidence,9
505,graves,9
506,shall,9
507,far,9
508,few,9
509,effect,9
510,various,9
511,suggestion,9
512,places,9
513,disposition,9
514,sufficient,9
515,willing,9
516,regime,9
517,beyond,9
518,course,9
519,dare,9
520,birth,9
521,affected,9
522,marathon,9
523,defeated,9
524,happen,9
525,spartan,9
526,free,9
527,people,9
528,clearly,9
529,pericles',9
530,plato's,9
531,rely,9
532,influence,9
533,mentioned,9
534,scepticism,9
535,proved,9
536,set,9
537,useless,9
538,however,9
539,everything,9
540,especially,9
541,following,9
542,arguments,9
543,daring,8
544,fifth,8
545,making,8
546,circumstances,8
547,law,8
548,wound,8
549,state,8
550,press,8
551,descendants,8
552,equal,8
553,critical,8
554,someone,8
555,going,8
556,term,8
557,worthy,8
558,fear,8
559,met,8
560,cure,8
561,lost,8
562,bodily,8
563,scientific,8
564,empire,8
565,learn,8
566,loose,8
567,around,8
568,egypt,8
569,study,8
570,wrong,8
571,rhetoric,8
572,am,8
573,won,8
574,issue,8
575,draw,8
576,mixed,8
577,old,8
578,sect,8
579,medicines,8
580,learning,8
581,proof,8
582,council,8
583,affairs,8
584,days,8
585,a.d.,8
586,manner,8
587,army,8
588,giving,8
589,disease,8
590,consider,8
591,beginning,8
592,although,8
593,positive,8
594,friends,8
595,task,8
596,problems,8
597,iii,8
598,choose,8
599,saying,8
600,longer,8
601,arrive,8
602,deal,8
603,methodist,8
604,brought,8
605,parents,8
606,constriction,8
607,raised,8
608,argument,8
609,role,7
610,l,7
611,m,7
612,better,7
613,order,7
614,translated,7
615,asclepiades',7
616,day,7
617,whose,7
618,attitude,7
619,die,7
620,finally,7
